Pillar,Agency,Sub Priority Area/Sector,MSRP Indicator,Type of Activity,Type of beneficiaries,# of beneficiaries,Location,Province,Implementation period (start),Implementation period (end),Implementing Partner,Remark
Health,UNICEF,Health,"Number of healthcare providers trained in detecting, referral and appropriate management of COVID-19 cases.",Capacity building activities,Institutions,36.46,National,Indonesia,April,Ongoing,Government,UNICEF-MoH
Health,UNICEF,Health,Number of healthcare facilities staff and community health workers provided with Personal Protective Equipment (PPE).,Capacity building activities,Institutions,199.249,National,Indonesia,April,Ongoing,Government,UNICEF-MoH
Health,WHO,Health,"Number of health workers trained on (or health facilities supported on) surveillance, rapid response, MHPSS, and case management.",Capacity building activities,Individual,21548,National,Indonesia,April,Ongoing,Government,WHO
Health,WHO,Health,"Number of healthcare providers trained in detecting, referral and appropriate management of COVID-19 cases.",Capacity building activities,Institutions,45,National,Indonesia,April,Ongoing,Government,WHO
Health,WHO,Health,"Number of health facilities staff and community health workers trained in detection, referral and management of suspected and confirmed COVID-19 cases.",Capacity building activities,Individual,400,National,Indonesia,April,Ongoing,Government,WHO
Health,WHO,Health,Percentage of utilization of funded activities.,,,59,%,,,,,
Health,UNFPA,Reproductive health,"Number of health workers trained on (or health facilities supported on) surveillance, rapid response, MHPSS, and case management.",Capacity building activities,Individual,300,National,"Greater Jakarta, West Java, East Java, Banten",September,Preparation,Non-Government,UNFPA - Yayasan Pulih - IBI
Health,UNFPA,Reproductive health,Number of healthcare facilities staff and community health workers provided with Personal Protective Equipment (PPE).,institutional support,Individual,412,National,"Greater Jakarta, West Java, East Java, Banten",April,completed,Non-Government,IBI
Health,UNFPA,Reproductive health,Number of midwifery clinics providing Sexual Reproductive Health and Family Planning services to keep women and babies safe amid the COVID-19 pandemic.,institutional support,Individual,300,National,"Greater Jakarta, West Java, East Java, Banten",April,Ongoing,Non-Government,IBI
Health,UNFPA,Reproductive health,Number of health workers trained on Clinical Management of Rape.,Capacity building activities,Institutions,150,Central Sulawesi,"Palu, Sigi, Donggala",October - November,Preparation,Government,"PHO, DHO, IBI, Yayasan Pulih"
